Saving Brinton,2017,7.5,['Documentary'],English,"Michael Zahs, Serge Bromberg, Greg Prickman","Tommy Haines, Andrew Sherburne"
Beautiful Accident,2017,6.5,"['Comedy', 'Fantasy']",Mandarin,"LunMei Gwei, Jingchun Wang, NaNa OuYang",Wi Ding Ho
The China Hustle,2017,7.1,['Documentary'],"English, Mandarin","Dan David, Matthew Wiechert, Herb Greenberg",Jed Rothstein
Pirates of the Caribbean: On Stranger Tides,2011,6.6,"['Fantasy Epic', 'Quest', 'Sea Adventure', 'Swashbuckler', 'Action', 'Adventure', 'Fantasy']","English, Spanish","Johnny Depp, Penlope Cruz, Ian McShane",Rob Marshall
Captain America: The First Avenger,2011,6.9,"['SciFi Epic', 'Superhero', 'Action', 'Adventure', 'SciFi']","English, Norwegian, French","Chris Evans, Hugo Weaving, Samuel L Jackson",Joe Johnston
The Rum Diary,2011,6.1,"['Comedy', 'Drama']","English, Spanish, German","Johnny Depp, Giovanni Ribisi, Aaron Eckhart",Bruce Robinson
Take Shelter,2011,7.3,"['Psychological Drama', 'Psychological Thriller', 'Workplace Drama', 'Drama', 'Thriller']",English,"Michael Shannon, Jessica Chastain, Shea Whigham",Jeff Nichols
Rampart,2011,5.8,"['Crime', 'Drama']",English,"Woody Harrelson, Ben Foster, Sigourney Weaver",Oren Moverman
Pariah,2011,7.2,"['ComingofAge', 'Teen Drama', 'Drama']",English,"Adepero Oduye, Kim Wayans, Aasha Davis",Dee Rees
The Last Lions,2011,8.2,"['Nature Documentary', 'Documentary', 'Family']",English,Jeremy Irons,Dereck Joubert
Undefeated,2011,7.7,"['Football', 'Sports Documentary', 'Documentary', 'Sport']",English,"Bill Courtney, OC Brown, Montrail Money Brown","Daniel Lindsay, TJ Martin"
Creature,2011,3.6,['Horror'],English,"Mehcad Brooks, Serinda Swan, Daniel Bernhardt",Fred Andrews
CornerStore,2011,7.2,['Comedy'],English,"Lawrence Lamont, Roger Guenveur Smith, Ari Rufino",Joseph Doughrity
The Swimming Pool,1969,7.1,"['Psychological Drama', 'Crime', 'Drama', 'Romance']","French, English","Alain Delon, Romy Schneider, Maurice Ronet",Jacques Deray
"Hook, Line and Sinker",1969,5.4,['Comedy'],"English, Spanish, Portuguese","Jerry Lewis, Peter Lawford, Anne Francis",George Marshall
Double Suicide,1969,7.6,"['Drama', 'Romance']",Japanese,"Kichiemon Nakamura, Shima Iwashita, Shizue Kawarazaki",Masahiro Shinoda
Snegurochka,1969,6.9,"['Family', 'Fantasy', 'Musical', 'Romance']",Russian,"Eugenia Filonova, Evgeniy Zharikov, Irina Gubanova",Pavel Kadochnikov
Van de Velde: Das Leben zu zweit - Sexualität in der Ehe,1969,4.1,['Romance'],German,"KarlHeinz Bauer, Barbara Scott, Hans Hass Jr",Franz Josef Gottlieb
Angel,1983,5.8,"['Action', 'Crime', 'Thriller']",English,"Cliff Gorman, Susan Tyrrell, Dick Shawn",Robert Vincent ONeil
Gabriela,1983,6.2,"['Comedy', 'Drama', 'Romance']",Portuguese,"Sonia Braga, Marcello Mastroianni, Antonio Cantafora",Bruno Barreto
El Sur,1983,7.8,"['ComingofAge', 'Tragic Romance', 'Drama', 'Mystery', 'Romance']",Spanish,"Omero Antonutti, Sonsoles Aranguren, Icar Bollan",Vctor Erice
Eyes of Fire,1983,6.2,"['Folk Horror', 'Drama', 'Horror', 'Western']",English,"Dennis Lipscomb, Guy Boyd, Rebecca Stanley",Avery Crounse
