Thomas est amoureux,2000,7.0,"['Comedy', 'Drama', 'Romance', 'SciFi']",French
Some Voices,2000,6.5,"['Comedy', 'Drama']",English
Clear and Present Danger,1994,6.9,"['Conspiracy Thriller', 'Political Thriller', 'Spy', 'Action', 'Crime', 'Drama', 'Thriller']","English, Spanish"
The Endless Summer 2,1994,7.6,"['Water Sport', 'Adventure', 'Documentary', 'Sport']",English
Little Odessa,1994,6.7,"['Crime', 'Drama']",English
Double Happiness,1994,7.1,"['Drama', 'Romance']","English, Cantonese"
Swimming with Sharks,1994,7.0,"['Dark Comedy', 'Satire', 'Showbiz Drama', 'Comedy', 'Crime']",English
Nastya,1994,6.9,"['Comedy', 'Romance']",Russian
Temptation,1994,4.6,['Thriller'],English
Tom and Jerry: The Movie,1992,5.4,"['Animal Adventure', 'Buddy Comedy', 'Slapstick', 'Adventure', 'Animation', 'Comedy', 'Family', 'Musical']",English
Bitter Moon,1992,7.2,"['Dark Romance', 'Erotic Thriller', 'Drama', 'Romance', 'Thriller']","English, French"
A Heart in Winter,1992,7.6,"['Drama', 'Music', 'Romance']",French
The Magic Voyage,1992,3.5,"['Adventure', 'Animation', 'Family', 'Fantasy']","German, English"
Lady Dragon,1992,5.0,"['Action', 'Crime', 'Drama']","English, Indonesian"
The Fencing Master,1992,6.7,"['Drama', 'Fantasy', 'History', 'Thriller']",Spanish
Carnal Knowledge,1971,6.9,"['Dark Comedy', 'Comedy', 'Drama']",English
Johnny Got His Gun,1971,7.8,"['Drama', 'War']",English
Devil's Nightmare,1971,6.0,"['Fantasy', 'Horror']",French
The Third Part of the Night,1971,7.3,"['Drama', 'Horror', 'War']",Polish
The Velvet Vampire,1971,5.3,"['Vampire Horror', 'Horror']",English
Born to Win,1971,5.8,"['Comedy', 'Crime', 'Drama']",English
The Female Bunch,1971,4.3,"['Action', 'Crime', 'Drama', 'Western']",English
Kill! Kill! Kill! Kill!,1971,4.7,"['Action', 'Crime', 'Drama', 'Thriller']",English
The Ceremony,1971,7.2,"['Satire', 'Comedy', 'Drama']",Japanese
Jo,1971,7.1,"['Comedy', 'Crime', 'Thriller']","French, English"
Wild Riders,1971,4.6,"['Crime', 'Thriller']",English
The Insatiable,1971,6.2,['Drama'],Japanese
Rambo III,1988,5.8,"['OnePerson Army Action', 'Action', 'Adventure', 'Thriller']","English, Russian"
Sunset,1988,5.7,"['Dark Comedy', 'Satire', 'Comedy', 'Crime', 'Drama', 'Mystery', 'Thriller', 'Western']","English, Spanish"
Earth Girls Are Easy,1988,5.5,"['Romantic Comedy', 'Comedy', 'Musical', 'Romance', 'SciFi']",English
Kansas,1988,5.5,"['Crime', 'Drama', 'Romance', 'Thriller']",English
The Decline of Western Civilization Part II: The Metal Years,1988,7.2,"['Documentary', 'Music']",English
Man Behind the Sun,1988,6.1,"['Drama', 'History', 'Horror', 'War']",Mandarin
Yesterday,1988,8.9,['Drama'],"Bulgarian, English"
Straight for the Heart,1988,6.8,"['Drama', 'Romance', 'War']",French
