title,year,rating_imdb,genre,language
Cloudy with a Chance of Meatballs 2,2013,6.3,"['Computer Animation', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'SciFi']","English, Chinese"
Safe Haven,2013,6.7,"['FeelGood Romance', 'Drama', 'Romance', 'Thriller']","English, Portuguese"
12 Years a Slave,2013,8.1,"['Costume Drama', 'Docudrama', 'Epic', 'Period Drama', 'Tragedy', 'Biography', 'Drama', 'History']",English
Free Birds,2013,5.8,"['Animal Adventure', 'Buddy Comedy', 'Computer Animation', 'Time Travel', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'History']",English
The Past,2013,7.7,"['Drama', 'Mystery']","French, Persian"
The Last of Robin Hood,2013,5.7,"['Biography', 'Drama', 'Romance']",English
"Cinco de Mayo, La Batalla",2013,6.2,"['Drama', 'History', 'War']","Spanish, French, English"
R... Rajkumar,2013,5.3,"['OnePerson Army Action', 'Action', 'Crime', 'Romance']",Hindi
Tangerines,2013,8.1,"['Drama', 'War']","Estonian, Russian, Georgian"
Good Ol' Freda,2013,7.4,"['Biography', 'Documentary', 'History', 'Music']",English
Blood Ties,2013,6.5,"['Action', 'Crime', 'Drama', 'Thriller']","English, Italian, Spanish"
This Ain't No Mouse Music,2013,7.5,['Documentary'],English
Hard to Be a God,2013,6.5,"['Drama', 'SciFi']",Russian
I Used to Be Darker,2013,5.7,"['Drama', 'Music']",English
Stand Clear of the Closing Doors,2013,6.3,['Drama'],"English, Spanish"
Trolls Band Together,2023,6.0,"['Computer Animation', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy', 'Musical']","English, Spanish"
Saltburn,2023,7.0,"['Dark Comedy', 'Psychological Drama', 'Psychological Thriller', 'Drama', 'Thriller']",English
Suitable Flesh,2023,5.4,"['Body Horror', 'Horror', 'Thriller']",English
Just the Two of Us,2023,6.6,"['Drama', 'Thriller']",French
Lost Ladies,2023,8.4,"['Comedy', 'Drama']",Hindi
After Everything,2023,4.7,"['Drama', 'Romance']","English, Portuguese"
Dashing Through the Snow,2023,5.6,"['Holiday Comedy', 'Holiday Family', 'Comedy', 'Family', 'Fantasy', 'Holiday']",English
The Haunting in Connecticut,2009,5.8,"['Supernatural Horror', 'Drama', 'Horror', 'Mystery', 'Thriller']",English
Bright Star,2009,6.9,"['Costume Drama', 'Period Drama', 'Biography', 'Drama', 'Romance']","English, French"
Solitary Man,2009,6.3,"['Comedy', 'Drama', 'Romance']","English, Spanish"
De Dana Dan,2009,5.9,"['Action', 'Comedy', 'Crime']",Hindi
Princess Kaiulani,2009,6.1,"['Biography', 'Drama', 'History', 'Romance']","English, Hawaiian"
La danse,2009,7.2,['Documentary'],French
Larger Than Life in,2009,8.2,"['Documentary', 'Musical']",English
Evangelion: 2.0 You Can (Not) Advance,2009,7.9,"['Adult Animation', 'Anime', 'Mecha', 'Action', 'Animation', 'Drama', 'SciFi']","English, Catalan, Spanish, Italian, French, Cantonese, Russian, Korean, Japanese, German"
Leaves of Grass,2009,6.4,"['Stoner Comedy', 'Comedy', 'Crime', 'Drama', 'Thriller']","English, Latin"
After the Cup: Sons of Sakhnin United,2009,7.1,['Documentary'],"English, Arabic, Hebrew"
Tales from the Script,2009,7.1,['Documentary'],English
Stan Helsing,2009,3.6,"['Parody', 'Slapstick', 'Comedy', 'Fantasy', 'Horror']",English
The Great Muppet Caper,1981,7.1,"['Animal Adventure', 'Caper', 'Farce', 'Quirky Comedy', 'Adventure', 'Comedy', 'Crime', 'Family', 'Musical', 'Mystery']",English
Under the Rainbow,1981,5.3,['Comedy'],English
Outland,1981,6.6,"['Conspiracy Thriller', 'Action', 'Crime', 'SciFi', 'Thriller', 'Western']",English
American Pop,1981,7.2,"['Adult Animation', 'Epic', 'HandDrawn Animation', 'Historical Epic', 'Jukebox Musical', 'Pop Musical', 'Rock Musical', 'Animation', 'Drama', 'History']","English, Hebrew, Russian, Yiddish"
Kaalia,1981,6.7,"['Action', 'Drama']",Hindi
The Being,1981,4.4,"['Horror', 'SciFi']",English
Jaka Sembung,1981,6.2,"['Action', 'Adventure', 'Fantasy', 'Horror']",Indonesian
Southpaw,2015,7.3,"['Boxing', 'Drama', 'Sport']",English
The DUFF,2015,6.4,"['Teen Comedy', 'Teen Romance', 'Comedy', 'Romance']","English, Spanish"
Bajirao Mastani,2015,7.3,"['Action', 'Drama', 'History', 'Romance', 'War']",Hindi
Victor Frankenstein,2015,6.0,"['Steampunk', 'Drama', 'Horror', 'SciFi', 'Thriller']",English
Ip Man 3,2015,7.0,"['Kung Fu', 'Martial Arts', 'Action', 'Biography', 'Crime', 'Drama', 'History']","Cantonese, English"
